,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
1015,HRISTOVA Lora,HRISTOVA L,Female,2003-04-23,SOFIA,Bulgaria,Bulgaria,BUL,Biathlon,BTH,TROYAN,Bulgaria,,../../../en/results/biathlon/athlete-profile-n1035081-lora-hristova.htm
1016,HRIVIK Marek,HRIVIK M,Male,1991-08-28,CADCA,Czechoslovakia,Slovakia,SVK,Ice Hockey,IHO,NIZHNY NOVGOROD,Russian Federation,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1044264-marek-hrivik.htm
1017,HROBAT Miha,HROBAT M,Male,1995-02-03,KRANJ,Slovenia,Slovenia,SLO,Alpine Skiing,ALP,KRANJ,Slovenia,,../../../en/results/alpine-skiing/athlete-profile-n1050996-miha-hrobat.htm
1018,HROMCOVA Petra,HROMCOVA P,Female,1998-07-17,,,Slovakia,SVK,Alpine Skiing,ALP,BRATISLAVA,Slovakia,,../../../en/results/alpine-skiing/athlete-profile-n1053136-petra-hromcova.htm
1019,HROVAT Meta,HROVAT M,Female,1998-03-02,LJUBLJANA,Slovenia,Slovenia,SLO,Alpine Skiing,ALP,KRANJSKA GORA,Slovenia,,../../../en/results/alpine-skiing/athlete-profile-n1050993-meta-hrovat.htm
1020,HRUBEC Simon,HRUBEC S,Male,1991-06-30,VIMPERK,Czechoslovakia,Czech Republic,CZE,Ice Hockey,IHO,OMSK,Russian Federation,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1055631-simon-hrubec.htm
1021,HRUZOVA Michaela,HRUZOVA M,Female,1998-02-06,PRAGUE,Czech Republic,Czech Republic,CZE,Short Track Speed Skating,STK,BENATKY NAD JIZEROU,Czech Republic,,../../../en/results/short-track-speed-skating/athlete-profile-n1033289-michaela-hruzova.htm
1022,HU Baozhen,HU B,Female,1994-09-24,"PLYMOUTH, MN",United States of America,People's Republic of China,CHN,Ice Hockey,IHO,MINNESOTA,United States of America,1.72/5'7'',../../../en/results/ice-hockey/athlete-profile-n1154492-baozhen-hu.htm
1023,HUAI Mingming,HUAI M,Female,1995-03-10,HARBIN,People's Republic of China,People's Republic of China,CHN,Bobsleigh,BOB,,People's Republic of China,,../../../en/results/bobsleigh/athlete-profile-n1058454-mingming-huai.htm
1024,HUANG Huier,HUANG H,Female,2000-09-05,"VANCOUVER, BC",Canada,People's Republic of China,CHN,Ice Hockey,IHO,"VANCOUVER, BC",Canada,1.62/5'3'',../../../en/results/ice-hockey/athlete-profile-n1154484-huier-huang.htm
1025,HUANG Yebo,HUANG Y,Male,1996-11-15,HARBIN,People's Republic of China,People's Republic of China,CHN,Luge,LUG,HARBIN,People's Republic of China,,../../../en/results/luge/athlete-profile-n1058511-yebo-huang.htm
